"text","line_number","section","chapter_number","paragraph_number"
"snuffing in the trail of the wild beasts of the woodland, Tashtego now",5112,"text",27,646
"hunted in the wake of the great whales of the sea; the unerring harpoon",5113,"text",27,646
"of the son fitly replacing the infallible arrow of the sires. To look",5114,"text",27,646
"at the tawny brawn of his lithe snaky limbs, you would almost have",5115,"text",27,646
"credited the superstitions of some of the earlier Puritans, and half",5116,"text",27,646
"believed this wild Indian to be a son of the Prince of the Powers of",5117,"text",27,646
"the Air. Tashtego was Stubb the second mate’s squire.",5118,"text",27,646
"",5119,"text",27,647
"Third among the harpooneers was Daggoo, a gigantic, coal-black",5120,"text",27,647
"negro-savage, with a lion-like tread—an Ahasuerus to behold. Suspended",5121,"text",27,647
"from his ears were two golden hoops, so large that the sailors called",5122,"text",27,647
"them ring-bolts, and would talk of securing the top-sail halyards to",5123,"text",27,647
"them. In his youth Daggoo had voluntarily shipped on board of a whaler,",5124,"text",27,647
"lying in a lonely bay on his native coast. And never having been",5125,"text",27,647
"anywhere in the world but in Africa, Nantucket, and the pagan harbors",5126,"text",27,647
"most frequented by whalemen; and having now led for many years the bold",5127,"text",27,647
"life of the fishery in the ships of owners uncommonly heedful of what",5128,"text",27,647
"manner of men they shipped; Daggoo retained all his barbaric virtues,",5129,"text",27,647
"and erect as a giraffe, moved about the decks in all the pomp of six",5130,"text",27,647
"feet five in his socks. There was a corporeal humility in looking up at",5131,"text",27,647
"him; and a white man standing before him seemed a white flag come to",5132,"text",27,647
"beg truce of a fortress. Curious to tell, this imperial negro,",5133,"text",27,647
"Ahasuerus Daggoo, was the Squire of little Flask, who looked like a",5134,"text",27,647
"chess-man beside him. As for the residue of the Pequod’s company, be it",5135,"text",27,647
"said, that at the present day not one in two of the many thousand men",5136,"text",27,647
"before the mast employed in the American whale fishery, are Americans",5137,"text",27,647
"born, though pretty nearly all the officers are. Herein it is the same",5138,"text",27,647
"with the American whale fishery as with the American army and military",5139,"text",27,647
"and merchant navies, and the engineering forces employed in the",5140,"text",27,647
"construction of the American Canals and Railroads. The same, I say,",5141,"text",27,647
"because in all these cases the native American liberally provides the",5142,"text",27,647
"brains, the rest of the world as generously supplying the muscles. No",5143,"text",27,647
"small number of these whaling seamen belong to the Azores, where the",5144,"text",27,647
"outward bound Nantucket whalers frequently touch to augment their crews",5145,"text",27,647
"from the hardy peasants of those rocky shores. In like manner, the",5146,"text",27,647
"Greenland whalers sailing out of Hull or London, put in at the Shetland",5147,"text",27,647
"Islands, to receive the full complement of their crew. Upon the passage",5148,"text",27,647
"homewards, they drop them there again. How it is, there is no telling,",5149,"text",27,647
"but Islanders seem to make the best whalemen. They were nearly all",5150,"text",27,647
"Islanders in the Pequod, _Isolatoes_ too, I call such, not",5151,"text",27,647
"acknowledging the common continent of men, but each _Isolato_ living on",5152,"text",27,647
"a separate continent of his own. Yet now, federated along one keel,",5153,"text",27,647
"what a set these Isolatoes were! An Anacharsis Clootz deputation from",5154,"text",27,647
"all the isles of the sea, and all the ends of the earth, accompanying",5155,"text",27,647
"Old Ahab in the Pequod to lay the world’s grievances before that bar",5156,"text",27,647
"from which not very many of them ever come back. Black Little Pip—he",5157,"text",27,647
"never did—oh, no! he went before. Poor Alabama boy! On the grim",5158,"text",27,647
"Pequod’s forecastle, ye shall ere long see him, beating his tambourine;",5159,"text",27,647
"prelusive of the eternal time, when sent for, to the great quarter-deck",5160,"text",27,647
"on high, he was bid strike in with angels, and beat his tambourine in",5161,"text",27,647
"glory; called a coward here, hailed a hero there!",5162,"text",27,647
"",5163,"text",27,648
"",5164,"text",27,649
"",5165,"text",27,650
"",5166,"text",27,651
"CHAPTER XXVIII. AHAB",5167,"text",28,651
"",5168,"text",28,652
"",5169,"text",28,653
"For several days after leaving Nantucket, nothing above hatches was",5170,"text",28,653
"seen of Captain Ahab. The mates regularly relieved each other at the",5171,"text",28,653
"watches, and for aught that could be seen to the contrary, they seemed",5172,"text",28,653
"to be the only commanders of the ship; only they sometimes issued from",5173,"text",28,653
"the cabin with orders so sudden and peremptory, that after all it was",5174,"text",28,653
"plain they but commanded vicariously. Yes, their supreme lord and",5175,"text",28,653
"dictator was there, though hitherto unseen by any eyes not permitted to",5176,"text",28,653
"penetrate into the now sacred retreat of the cabin.",5177,"text",28,653
"",5178,"text",28,654
"Every time I ascended to the deck from my watches below, I instantly",5179,"text",28,654
"gazed aft to mark if any strange face were visible; for my first vague",5180,"text",28,654
"disquietude touching the unknown captain, now in the seclusion of the",5181,"text",28,654
"sea, became almost a perturbation. This was strangely heightened at",5182,"text",28,654
"times by the ragged Elijah’s diabolical incoherences uninvitedly",5183,"text",28,654
"recurring to me, with a subtle energy I could not have before conceived",5184,"text",28,654
"of. But poorly could I withstand them, much as in other moods I was",5185,"text",28,654
"almost ready to smile at the solemn whimsicalities of that outlandish",5186,"text",28,654
"prophet of the wharves. But whatever it was of apprehensiveness or",5187,"text",28,654
"uneasiness—to call it so—which I felt, yet whenever I came to look",5188,"text",28,654
"about me in the ship, it seemed against all warrantry to cherish such",5189,"text",28,654
"emotions. For though the harpooneers, with the great body of the crew,",5190,"text",28,654
"were a far more barbaric, heathenish, and motley set than any of the",5191,"text",28,654
"tame merchant-ship companies which my previous experiences had made me",5192,"text",28,654
"acquainted with, still I ascribed this—and rightly ascribed it—to the",5193,"text",28,654
"fierce uniqueness of the very nature of that wild Scandinavian vocation",5194,"text",28,654
"in which I had so abandonedly embarked. But it was especially the",5195,"text",28,654
"aspect of the three chief officers of the ship, the mates, which was",5196,"text",28,654
"most forcibly calculated to allay these colorless misgivings, and",5197,"text",28,654
"induce confidence and cheerfulness in every presentment of the voyage.",5198,"text",28,654
"Three better, more likely sea-officers and men, each in his own",5199,"text",28,654
"different way, could not readily be found, and they were every one of",5200,"text",28,654
"them Americans; a Nantucketer, a Vineyarder, a Cape man. Now, it being",5201,"text",28,654
"Christmas when the ship shot from out her harbor, for a space we had",5202,"text",28,654
"biting Polar weather, though all the time running away from it to the",5203,"text",28,654
"southward; and by every degree and minute of latitude which we sailed,",5204,"text",28,654
"gradually leaving that merciless winter, and all its intolerable",5205,"text",28,654
"weather behind us. It was one of those less lowering, but still grey",5206,"text",28,654
"and gloomy enough mornings of the transition, when with a fair wind the",5207,"text",28,654
"ship was rushing through the water with a vindictive sort of leaping",5208,"text",28,654
"and melancholy rapidity, that as I mounted to the deck at the call of",5209,"text",28,654
"the forenoon watch, so soon as I levelled my glance towards the",5210,"text",28,654
"taffrail, foreboding shivers ran over me. Reality outran apprehension;",5211,"text",28,654
"Captain Ahab stood upon his quarter-deck.",5212,"text",28,654
"",5213,"text",28,655
"There seemed no sign of common bodily illness about him, nor of the",5214,"text",28,655
"recovery from any. He looked like a man cut away from the stake, when",5215,"text",28,655
"the fire has overrunningly wasted all the limbs without consuming them,",5216,"text",28,655
"or taking away one particle from their compacted aged robustness. His",5217,"text",28,655
"whole high, broad form, seemed made of solid bronze, and shaped in an",5218,"text",28,655
"unalterable mould, like Cellini’s cast Perseus. Threading its way out",5219,"text",28,655
"from among his grey hairs, and continuing right down one side of his",5220,"text",28,655
"tawny scorched face and neck, till it disappeared in his clothing, you",5221,"text",28,655
"saw a slender rod-like mark, lividly whitish. It resembled that",5222,"text",28,655
"perpendicular seam sometimes made in the straight, lofty trunk of a",5223,"text",28,655
"great tree, when the upper lightning tearingly darts down it, and",5224,"text",28,655
"without wrenching a single twig, peels and grooves out the bark from",5225,"text",28,655
"top to bottom, ere running off into the soil, leaving the tree still",5226,"text",28,655
"greenly alive, but branded. Whether that mark was born with him, or",5227,"text",28,655
"whether it was the scar left by some desperate wound, no one could",5228,"text",28,655
"certainly say. By some tacit consent, throughout the voyage little or",5229,"text",28,655
"no allusion was made to it, especially by the mates. But once",5230,"text",28,655
"Tashtego’s senior, an old Gay-Head Indian among the crew,",5231,"text",28,655
"superstitiously asserted that not till he was full forty years old did",5232,"text",28,655
"Ahab become that way branded, and then it came upon him, not in the",5233,"text",28,655
"fury of any mortal fray, but in an elemental strife at sea. Yet, this",5234,"text",28,655
"wild hint seemed inferentially negatived, by what a grey Manxman",5235,"text",28,655
"insinuated, an old sepulchral man, who, having never before sailed out",5236,"text",28,655
"of Nantucket, had never ere this laid eye upon wild Ahab. Nevertheless,",5237,"text",28,655
"the old sea-traditions, the immemorial credulities, popularly invested",5238,"text",28,655
"this old Manxman with preternatural powers of discernment. So that no",5239,"text",28,655
"white sailor seriously contradicted him when he said that if ever",5240,"text",28,655
"Captain Ahab should be tranquilly laid out—which might hardly come to",5241,"text",28,655
"pass, so he muttered—then, whoever should do that last office for the",5242,"text",28,655
"dead, would find a birth-mark on him from crown to sole.",5243,"text",28,655
"",5244,"text",28,656
"So powerfully did the whole grim aspect of Ahab affect me, and the",5245,"text",28,656
"livid brand which streaked it, that for the first few moments I hardly",5246,"text",28,656
"noted that not a little of this overbearing grimness was owing to the",5247,"text",28,656
"barbaric white leg upon which he partly stood. It had previously come",5248,"text",28,656
"to me that this ivory leg had at sea been fashioned from the polished",5249,"text",28,656
"bone of the sperm whale’s jaw. “Aye, he was dismasted off Japan,” said",5250,"text",28,656
"the old Gay-Head Indian once; “but like his dismasted craft, he shipped",5251,"text",28,656
"another mast without coming home for it. He has a quiver of ’em.”",5252,"text",28,656
"",5253,"text",28,657
"I was struck with the singular posture he maintained. Upon each side of",5254,"text",28,657
"the Pequod’s quarter deck, and pretty close to the mizen shrouds, there",5255,"text",28,657
"was an auger hole, bored about half an inch or so, into the plank. His",5256,"text",28,657
"bone leg steadied in that hole; one arm elevated, and holding by a",5257,"text",28,657
"shroud; Captain Ahab stood erect, looking straight out beyond the",5258,"text",28,657
"ship’s ever-pitching prow. There was an infinity of firmest fortitude,",5259,"text",28,657
"a determinate unsurrenderable wilfulness, in the fixed and fearless,",5260,"text",28,657
"forward dedication of that glance. Not a word he spoke; nor did his",5261,"text",28,657
"officers say aught to him; though by all their minutest gestures and",5262,"text",28,657
"expressions, they plainly showed the uneasy, if not painful,",5263,"text",28,657
"consciousness of being under a troubled master-eye. And not only that,",5264,"text",28,657
"but moody stricken Ahab stood before them with a crucifixion in his",5265,"text",28,657
"face; in all the nameless regal overbearing dignity of some mighty woe.",5266,"text",28,657
"",5267,"text",28,658
"Ere long, from his first visit in the air, he withdrew into his cabin.",5268,"text",28,658
"But after that morning, he was every day visible to the crew; either",5269,"text",28,658
"standing in his pivot-hole, or seated upon an ivory stool he had; or",5270,"text",28,658
"heavily walking the deck. As the sky grew less gloomy; indeed, began to",5271,"text",28,658
"grow a little genial, he became still less and less a recluse; as if,",5272,"text",28,658
"when the ship had sailed from home, nothing but the dead wintry",5273,"text",28,658
"bleakness of the sea had then kept him so secluded. And, by and by, it",5274,"text",28,658
"came to pass, that he was almost continually in the air; but, as yet,",5275,"text",28,658
"for all that he said, or perceptibly did, on the at last sunny deck, he",5276,"text",28,658
"seemed as unnecessary there as another mast. But the Pequod was only",5277,"text",28,658
"making a passage now; not regularly cruising; nearly all whaling",5278,"text",28,658
"preparatives needing supervision the mates were fully competent to, so",5279,"text",28,658
"that there was little or nothing, out of himself, to employ or excite",5280,"text",28,658
"Ahab, now; and thus chase away, for that one interval, the clouds that",5281,"text",28,658
"layer upon layer were piled upon his brow, as ever all clouds choose",5282,"text",28,658
"the loftiest peaks to pile themselves upon.",5283,"text",28,658
"",5284,"text",28,659
"Nevertheless, ere long, the warm, warbling persuasiveness of the",5285,"text",28,659
"pleasant, holiday weather we came to, seemed gradually to charm him",5286,"text",28,659
"from his mood. For, as when the red-cheeked, dancing girls, April and",5287,"text",28,659
"May, trip home to the wintry, misanthropic woods; even the barest,",5288,"text",28,659
"ruggedest, most thunder-cloven old oak will at least send forth some",5289,"text",28,659
"few green sprouts, to welcome such glad-hearted visitants; so Ahab did,",5290,"text",28,659
"in the end, a little respond to the playful allurings of that girlish",5291,"text",28,659
"air. More than once did he put forth the faint blossom of a look,",5292,"text",28,659
"which, in any other man, would have soon flowered out in a smile.",5293,"text",28,659
"",5294,"text",28,660
"",5295,"text",28,661
"",5296,"text",28,662
"",5297,"text",28,663
"CHAPTER XXIX. ENTER AHAB; TO HIM, STUBB",5298,"text",29,663
"",5299,"text",29,664
"",5300,"text",29,665
"Some days elapsed, and ice and icebergs all astern, the Pequod now went",5301,"text",29,665
"rolling through the bright Quito spring, which, at sea, almost",5302,"text",29,665
"perpetually reigns on the threshold of the eternal August of the",5303,"text",29,665
"Tropic. The warmly cool, clear, ringing, perfumed, overflowing,",5304,"text",29,665
"redundant days, were as crystal goblets of Persian sherbet, heaped",5305,"text",29,665
"up—flaked up, with rose-water snow. The starred and stately nights",5306,"text",29,665
"seemed haughty dames in jewelled velvets, nursing at home in lonely",5307,"text",29,665
"pride, the memory of their absent conquering Earls, the golden helmeted",5308,"text",29,665
"suns! For sleeping man, ’twas hard to choose between such winsome days",5309,"text",29,665
"and such seducing nights. But all the witcheries of that unwaning",5310,"text",29,665
"weather did not merely lend new spells and potencies to the outward",5311,"text",29,665
"world. Inward they turned upon the soul, especially when the still mild",5312,"text",29,665
"hours of eve came on; then, memory shot her crystals as the clear ice",5313,"text",29,665
"most forms of noiseless twilights. And all these subtle agencies, more",5314,"text",29,665
"and more they wrought on Ahab’s texture.",5315,"text",29,665
"",5316,"text",29,666
"Old age is always wakeful; as if, the longer linked with life, the less",5317,"text",29,666
"man has to do with aught that looks like death. Among sea-commanders,",5318,"text",29,666
"the old greybeards will oftenest leave their berths to visit the",5319,"text",29,666
"night-cloaked deck. It was so with Ahab; only that now, of late, he",5320,"text",29,666
"seemed so much to live in the open air, that truly speaking, his visits",5321,"text",29,666
"were more to the cabin, than from, the cabin to the planks. “It feels",5322,"text",29,666
"like going down into one’s tomb,”—he would mutter to himself,—“for an",5323,"text",29,666
"old captain like me to be descending this narrow scuttle, to go to my",5324,"text",29,666
"grave-dug berth.”",5325,"text",29,666
"",5326,"text",29,667
"So, almost every twenty-four hours, when the watches of the night were",5327,"text",29,667
"set, and the band on deck sentinelled the slumbers of the band below;",5328,"text",29,667
"and when if a rope was to be hauled upon the forecastle, the sailors",5329,"text",29,667
"flung it not rudely down, as by day, but with some cautiousness dropt",5330,"text",29,667
"it to its place, for fear of disturbing their slumbering shipmates;",5331,"text",29,667
"when this sort of steady quietude would begin to prevail, habitually,",5332,"text",29,667
"the silent steersman would watch the cabin-scuttle; and ere long the",5333,"text",29,667
"old man would emerge, griping at the iron banister, to help his",5334,"text",29,667
"crippled way. Some considerating touch of humanity was in him; for at",5335,"text",29,667
"times like these, he usually abstained from patrolling the",5336,"text",29,667
"quarter-deck; because to his wearied mates, seeking repose within six",5337,"text",29,667
"inches of his ivory heel, such would have been the reverberating crack",5338,"text",29,667
"and din of that bony step, that their dreams would have been of the",5339,"text",29,667
"crunching teeth of sharks. But once, the mood was on him too deep for",5340,"text",29,667
"common regardings; and as with heavy, lumber-like pace he was measuring",5341,"text",29,667
"the ship from taffrail to mainmast, Stubb, the odd second mate, came up",5342,"text",29,667
"from below, and with a certain unassured, deprecating humorousness,",5343,"text",29,667
"hinted that if Captain Ahab was pleased to walk the planks, then, no",5344,"text",29,667
"one could say nay; but there might be some way of muffling the noise;",5345,"text",29,667
"hinting something indistinctly and hesitatingly about a globe of tow,",5346,"text",29,667
"and the insertion into it, of the ivory heel. Ah! Stubb, thou did’st",5347,"text",29,667
"not know Ahab then.",5348,"text",29,667
"",5349,"text",29,668
"“Am I a cannon-ball, Stubb,” said Ahab, “that thou wouldst wad me that",5350,"text",29,668
"fashion? But go thy ways; I had forgot. Below to thy nightly grave;",5351,"text",29,668
"where such as ye sleep between shrouds, to use ye to the filling one at",5352,"text",29,668
"last.—Down, dog, and kennel!”",5353,"text",29,668
"",5354,"text",29,669
"Starting at the unforeseen concluding exclamation of the so suddenly",5355,"text",29,669
"scornful old man, Stubb was speechless a moment; then said excitedly,",5356,"text",29,669
"“I am not used to be spoken to that way, sir; I do but less than half",5357,"text",29,669
"like it, sir.”",5358,"text",29,669
"",5359,"text",29,670
"“Avast!” gritted Ahab between his set teeth, and violently moving away,",5360,"text",29,670
"as if to avoid some passionate temptation.",5361,"text",29,670
"",5362,"text",29,671
"“No, sir; not yet,” said Stubb, emboldened, “I will not tamely be",5363,"text",29,671
"called a dog, sir.”",5364,"text",29,671
"",5365,"text",29,672
"“Then be called ten times a donkey, and a mule, and an ass, and begone,",5366,"text",29,672
"or I’ll clear the world of thee!”",5367,"text",29,672
"",5368,"text",29,673
"As he said this, Ahab advanced upon him with such overbearing terrors",5369,"text",29,673
"in his aspect, that Stubb involuntarily retreated.",5370,"text",29,673
"",5371,"text",29,674
"“I was never served so before without giving a hard blow for it,”",5372,"text",29,674
"muttered Stubb, as he found himself descending the cabin-scuttle. “It’s",5373,"text",29,674
"very queer. Stop, Stubb; somehow, now, I don’t well know whether to go",5374,"text",29,674
"back and strike him, or—what’s that?—down here on my knees and pray for",5375,"text",29,674
"him? Yes, that was the thought coming up in me; but it would be the",5376,"text",29,674
"first time I ever _did_ pray. It’s queer; very queer; and he’s queer",5377,"text",29,674
"too; aye, take him fore and aft, he’s about the queerest old man Stubb",5378,"text",29,674
"ever sailed with. How he flashed at me!—his eyes like powder-pans! is",5379,"text",29,674
"he mad? Anyway there’s something on his mind, as sure as there must be",5380,"text",29,674
"something on a deck when it cracks. He aint in his bed now, either,",5381,"text",29,674
"more than three hours out of the twenty-four; and he don’t sleep then.",5382,"text",29,674
"Didn’t that Dough-Boy, the steward, tell me that of a morning he always",5383,"text",29,674
"finds the old man’s hammock clothes all rumpled and tumbled, and the",5384,"text",29,674
"sheets down at the foot, and the coverlid almost tied into knots, and",5385,"text",29,674
"the pillow a sort of frightful hot, as though a baked brick had been on",5386,"text",29,674
"it? A hot old man! I guess he’s got what some folks ashore call a",5387,"text",29,674
"conscience; it’s a kind of Tic-Dolly-row they say—worse nor a",5388,"text",29,674
"toothache. Well, well; I don’t know what it is, but the Lord keep me",5389,"text",29,674
"from catching it. He’s full of riddles; I wonder what he goes into the",5390,"text",29,674
"after hold for, every night, as Dough-Boy tells me he suspects; what’s",5391,"text",29,674
"that for, I should like to know? Who’s made appointments with him in",5392,"text",29,674
"the hold? Ain’t that queer, now? But there’s no telling, it’s the old",5393,"text",29,674
"game—Here goes for a snooze. Damn me, it’s worth a fellow’s while to be",5394,"text",29,674
"born into the world, if only to fall right asleep. And now that I think",5395,"text",29,674
"of it, that’s about the first thing babies do, and that’s a sort of",5396,"text",29,674
"queer, too. Damn me, but all things are queer, come to think of ’em.",5397,"text",29,674
"But that’s against my principles. Think not, is my eleventh",5398,"text",29,674
"commandment; and sleep when you can, is my twelfth—So here goes again.",5399,"text",29,674
"But how’s that? didn’t he call me a dog? blazes! he called me ten times",5400,"text",29,674
"a donkey, and piled a lot of jackasses on top of _that!_ He might as",5401,"text",29,674
"well have kicked me, and done with it. Maybe he _did_ kick me, and I",5402,"text",29,674
"didn’t observe it, I was so taken all aback with his brow, somehow. It",5403,"text",29,674
"flashed like a bleached bone. What the devil’s the matter with me? I",5404,"text",29,674
"don’t stand right on my legs. Coming afoul of that old man has a sort",5405,"text",29,674
"of turned me wrong side out. By the Lord, I must have been dreaming,",5406,"text",29,674
"though—How? how? how?—but the only way’s to stash it; so here goes to",5407,"text",29,674
"hammock again; and in the morning, I’ll see how this plaguey juggling",5408,"text",29,674
"thinks over by day-light.”",5409,"text",29,674
"",5410,"text",29,675
"",5411,"text",29,676
"",5412,"text",29,677
"",5413,"text",29,678
"CHAPTER XXX. THE PIPE",5414,"text",30,678
"",5415,"text",30,679
"",5416,"text",30,680
"When Stubb had departed, Ahab stood for a while leaning over the",5417,"text",30,680
"bulwarks; and then, as had been usual with him of late, calling a",5418,"text",30,680
"sailor of the watch, he sent him below for his ivory stool, and also",5419,"text",30,680
"his pipe. Lighting the pipe at the binnacle lamp and planting the stool",5420,"text",30,680
"on the weather side of the deck, he sat and smoked.",5421,"text",30,680
"",5422,"text",30,681
"In old Norse times, the thrones of the sea-loving Danish kings were",5423,"text",30,681
"fabricated, saith tradition, of the tusks of the narwhale. How could",5424,"text",30,681
"one look at Ahab then, seated on that tripod of bones, without",5425,"text",30,681
"bethinking him of the royalty it symbolized? For a Khan of the plank,",5426,"text",30,681
"and a king of the sea, and a great lord of Leviathans was Ahab.",5427,"text",30,681
"",5428,"text",30,682
"Some moments passed, during which the thick vapor came from his mouth",5429,"text",30,682
"in quick and constant puffs, which blew back again into his face. “How”",5430,"text",30,682
"now, he soliloquized at last, withdrawing the tube, “this smoking no",5431,"text",30,682
"longer soothes. Oh, my pipe! hard must it go with me if thy charm be",5432,"text",30,682
"gone! Here have I been unconsciously toiling, not pleasuring,—aye, and",5433,"text",30,682
"ignorantly smoking to windward all the while; to windward, and with",5434,"text",30,682
"such nervous whiffs, as if, like the dying whale, my final jets were",5435,"text",30,682
"the strongest and fullest of trouble. What business have I with this",5436,"text",30,682
"pipe? This thing that is meant for sereneness, to send up mild white",5437,"text",30,682
"vapors among mild white hairs, not among torn iron-grey locks like",5438,"text",30,682
"mine. I’ll smoke no more—”",5439,"text",30,682
"",5440,"text",30,683
"He tossed the still lighted pipe into the sea. The fire hissed in the",5441,"text",30,683
"waves; the same instant the ship shot by the bubble the sinking pipe",5442,"text",30,683
"made. With slouched hat, Ahab lurchingly paced the planks.",5443,"text",30,683
"",5444,"text",30,684
"",5445,"text",30,685
"",5446,"text",30,686
"",5447,"text",30,687
"CHAPTER XXXI. QUEEN MAB",5448,"text",31,687
"",5449,"text",31,688
"",5450,"text",31,689
"Next morning Stubb accosted Flask.",5451,"text",31,689
"",5452,"text",31,690
"“Such a queer dream, King-Post, I never had. You know the old man’s",5453,"text",31,690
"ivory leg, well I dreamed he kicked me with it; and when I tried to",5454,"text",31,690
"kick back, upon my soul, my little man, I kicked my leg right off! And",5455,"text",31,690
"then, presto! Ahab seemed a pyramid, and I, like a blazing fool, kept",5456,"text",31,690
"kicking at it. But what was still more curious, Flask—you know how",5457,"text",31,690
"curious all dreams are—through all this rage that I was in, I somehow",5458,"text",31,690
"seemed to be thinking to myself, that after all, it was not much of an",5459,"text",31,690
"insult, that kick from Ahab. ‘Why,’ thinks I, ‘what’s the row? It’s not",5460,"text",31,690
"a real leg, only a false leg.’ And there’s a mighty difference between",5461,"text",31,690
"a living thump and a dead thump. That’s what makes a blow from the",5462,"text",31,690
"hand, Flask, fifty times more savage to bear than a blow from a cane.",5463,"text",31,690
"The living member—that makes the living insult, my little man. And",5464,"text",31,690
"thinks I to myself all the while, mind, while I was stubbing my silly",5465,"text",31,690
"toes against that cursed pyramid—so confoundedly contradictory was it",5466,"text",31,690
"all, all the while, I say, I was thinking to myself, ‘what’s his leg",5467,"text",31,690
"now, but a cane—a whalebone cane. Yes,’ thinks I, ‘it was only a",5468,"text",31,690
"playful cudgelling—in fact, only a whaleboning that he gave me—not a",5469,"text",31,690
"base kick. Besides,’ thinks I, ‘look at it once; why, the end of it—the",5470,"text",31,690
"foot part—what a small sort of end it is; whereas, if a broad footed",5471,"text",31,690
"farmer kicked me, _there’s_ a devilish broad insult. But this insult is",5472,"text",31,690
"whittled down to a point only.’ But now comes the greatest joke of the",5473,"text",31,690
"dream, Flask. While I was battering away at the pyramid, a sort of",5474,"text",31,690
"badger-haired old merman, with a hump on his back, takes me by the",5475,"text",31,690
"shoulders, and slews me round. ‘What are you ’bout?’ says he. Slid!",5476,"text",31,690
"man, but I was frightened. Such a phiz! But, somehow, next moment I was",5477,"text",31,690
"over the fright. ‘What am I about?’ says I at last. ‘And what business",5478,"text",31,690
"is that of yours, I should like to know, Mr. Humpback? Do _you_ want a",5479,"text",31,690
"kick?’ By the lord, Flask, I had no sooner said that, than he turned",5480,"text",31,690
"round his stern to me, bent over, and dragging up a lot of seaweed he",5481,"text",31,690
"had for a clout—what do you think, I saw?—why thunder alive, man, his",5482,"text",31,690
"stern was stuck full of marlinspikes, with the points out. Says I, on",5483,"text",31,690
"second thoughts, ‘I guess I won’t kick you, old fellow.’ ‘Wise Stubb,’",5484,"text",31,690
"said he, ‘wise Stubb;’ and kept muttering it all the time, a sort of",5485,"text",31,690
"eating of his own gums like a chimney hag. Seeing he wasn’t going to",5486,"text",31,690
"stop saying over his ‘wise Stubb, wise Stubb,’ I thought I might as",5487,"text",31,690
"well fall to kicking the pyramid again. But I had only just lifted my",5488,"text",31,690
"foot for it, when he roared out, ‘Stop that kicking!’ ‘Halloa,’ says I,",5489,"text",31,690
"‘what’s the matter now, old fellow?’ ‘Look ye here,’ says he; ‘let’s",5490,"text",31,690
"argue the insult. Captain Ahab kicked ye, didn’t he?’ ‘Yes, he did,’",5491,"text",31,690
"says I—‘right _here_ it was.’ ‘Very good,’ says he—‘he used his ivory",5492,"text",31,690
"leg, didn’t he?’ ‘Yes, he did,’ says I. ‘Well then,’ says he, ‘wise",5493,"text",31,690
"Stubb, what have you to complain of? Didn’t he kick with right good",5494,"text",31,690
"will? it wasn’t a common pitch pine leg he kicked with, was it? No, you",5495,"text",31,690
"were kicked by a great man, and with a beautiful ivory leg, Stubb. It’s",5496,"text",31,690
"an honor; I consider it an honor. Listen, wise Stubb. In old England",5497,"text",31,690
"the greatest lords think it great glory to be slapped by a queen, and",5498,"text",31,690
"made garter-knights of; but, be _your_ boast, Stubb, that ye were",5499,"text",31,690
"kicked by old Ahab, and made a wise man of. Remember what I say; _be_",5500,"text",31,690
"kicked by him; account his kicks honors; and on no account kick back;",5501,"text",31,690
"for you can’t help yourself, wise Stubb. Don’t you see that pyramid?’",5502,"text",31,690
"With that, he all of a sudden seemed somehow, in some queer fashion, to",5503,"text",31,690
"swim off into the air. I snored; rolled over; and there I was in my",5504,"text",31,690
"hammock! Now, what do you think of that dream, Flask?”",5505,"text",31,690
"",5506,"text",31,691
"“I don’t know; it seems a sort of foolish to me, tho’.”",5507,"text",31,691
"",5508,"text",31,692
"“May be, may be. But it’s made a wise man of me, Flask. D’ye see Ahab",5509,"text",31,692
"standing there, sideways looking over the stern? Well, the best thing",5510,"text",31,692
"you can do, Flask, is to let that old man alone; never speak to him,",5511,"text",31,692
"whatever he says. Halloa! what’s that he shouts? Hark!”",5512,"text",31,692
"",5513,"text",31,693
"“Mast-head, there! Look sharp, all of ye! There are whales hereabouts!",5514,"text",31,693
"If ye see a white one, split your lungs for him!”",5515,"text",31,693
"",5516,"text",31,694
"“What d’ye think of that now, Flask? ain’t there a small drop of",5517,"text",31,694
"something queer about that, eh? A white whale—did ye mark that, man?",5518,"text",31,694
"Look ye—there’s something special in the wind. Stand by for it, Flask.",5519,"text",31,694
"Ahab has that that’s bloody on his mind. But, mum; he comes this way.”",5520,"text",31,694
"",5521,"text",31,695
"",5522,"text",31,696
"",5523,"text",31,697
"",5524,"text",31,698
"CHAPTER XXXII. CETOLOGY",5525,"text",32,698
"",5526,"text",32,699
"",5527,"text",32,700
"Already we are boldly launched upon the deep; but soon we shall be lost",5528,"text",32,700
"in its unshored, harborless immensities. Ere that come to pass; ere the",5529,"text",32,700
"Pequod’s weedy hull rolls side by side with the barnacled hulls of the",5530,"text",32,700
"leviathan; at the outset it is but well to attend to a matter almost",5531,"text",32,700
"indispensable to a thorough appreciative understanding of the more",5532,"text",32,700
"special leviathanic revelations and allusions of all sorts which are to",5533,"text",32,700
"follow.",5534,"text",32,700
"",5535,"text",32,701
"It is some systematized exhibition of the whale in his broad genera,",5536,"text",32,701
"that I would now fain put before you. Yet is it no easy task. The",5537,"text",32,701
"classification of the constituents of a chaos, nothing less is here",5538,"text",32,701
"essayed. Listen to what the best and latest authorities have laid down.",5539,"text",32,701
"",5540,"text",32,702
"“No branch of Zoology is so much involved as that which is entitled",5541,"text",32,702
"Cetology,” says Captain Scoresby, A.D. 1820.",5542,"text",32,702
